,published_date,title,publisher,kode_emitten,title_en
329,2021-03-17,BRI Canangkan Jadi Champion of Financial Inclusion,CNBC Indonesia,BBRI,BRI Proclaims to Become Champion of Financial Inclusion
330,2021-03-17,Pengembang Sentosa Park Gandeng Bank BRI Salurkan KPR,Bisnis,BBRI,Sentosa Park Developer Collaborates with BRI Bank to Distribute KPR
331,2021-03-17,"Dukung Program Pemerintah, BRI Canangkan Menjadi Champion of Financial Inclusion",Bisnis,BBRI,"Supporting Government Programs, BRI Plans to Become a Champion of Financial Inclusion"
332,2021-03-18,"Digitalisasi Tak Terelakkan, BRI Kuatkan Ekosistem UMKM",CNBC Indonesia,BBRI,"Digitalization Is Inevitable, BRI Strengthens the MSME Ecosystem"
333,2021-03-19,BRI Data Hackathon 2021 Tantang Ide Inovatif 11.599 Peserta,CNBC Indonesia,BBRI,"BRI Data Hackathon 2021 Challenges Innovative Ideas of 11,599 Participants"
334,2021-03-20,"Transformasi Digital, BRI Jalin Kerjasama Dengan Microsoft",CNBC Indonesia,BBRI,"Digital Transformation, BRI Collaborates with Microsoft"
335,2021-03-22,"Gara-gara Nabung di BRI, Milenial Ini Dapat Toyota Vellfire",CNBC Indonesia,BBRI,"Because of saving at BRI, this millennial got a Toyota Vellfire"
336,2021-03-24,BRI targetkan semua kartu ATM sudah migrasi ke kartu cip pada September 2021,Kontan,BBRI,BRI targets all ATM cards to have migrated to chip cards by September 2021
337,2021-03-25,BRI Fokus Jalankan Perlindungan Data Pribadi di Era Digital,CNBC Indonesia,BBRI,BRI Focuses on Protecting Personal Data in the Digital Era
338,2021-03-25,"Sinergi BRI Agro & BRI Life, Akselerasi Bisnis Bancassurance",CNBC Indonesia,BBRI,"Synergy of BRI Agro & BRI Life, Acceleration of Bancassurance Business"
339,2021-03-25,"Dear Investor, Ini Update Terbaru Bank Digital BRI",CNBC Indonesia,BBRI,"Dear Investor, This is the Latest Update on BRI Digital Bank"
340,2021-03-26,Begini Strategi BRI Berantas Kejahatan Siber di RI,CNBC Indonesia,BBRI,This is BRI's strategy to eradicate cyber crime in Indonesia
341,2021-03-27,Ingat! Ini Jadwal Blokir ATM Lama BRI-BCA-Mandiri-BNI Cs,CNBC Indonesia,BBRI,Remember! This is the schedule for blocking old BRI-BCA-Mandiri-BNI Cs ATMs
342,2021-03-28,Wow! 3 Juta Pengunjung Hadiri KPR BRI Virtual Expo 2021,CNBC Indonesia,BBRI,Wow! 3 Million Visitors Attend KPR BRI Virtual Expo 2021
343,2021-03-29,"Dear Nasabah, Segera Ganti Kartu ATM Anda. Ini Jadwal Pemblokiran dari Bank Mandiri, BRI, BCA dan BNI",Bisnis,BBRI,"Dear Customer, Change Your ATM Card Immediately. This is the blocking schedule for Bank Mandiri, BRI, BCA and BNI"
344,2021-03-30,Hore! BRI Beri Beasiswa Penuh Mahasiswa Berprestasi,CNBC Indonesia,BBRI,Hooray! BRI Gives Full Scholarships to Outstanding Students
345,2021-03-30,"Catat, ini jadwal pembagian dividen Bank Rakyat Indonesia (BBRI)",Kontan,BBRI,"Note, this is the dividend distribution schedule for Bank Rakyat Indonesia (BBRI)"
346,2021-03-31,"Personalized Learning Experience, Cara BRI Kembangkan Kompetensi Pekerjanya",Bisnis,BBRI,"Personalized Learning Experience, How BRI Develops Employee Competence"
347,2021-03-31,"Syarat Pengajuan KUR BRI, Bunga 6 Persen. Ada Kuota Rp170 Triliun",Bisnis,BBRI,"BRI KUR Submission Requirements, 6 Percent Interest. There is a Quota of IDR 170 Trillion"
348,2021-03-31,"Masih Ada Waktu! Nasabah BRI, Segera Tukar Kartu ATM Sebelum Diblokir",Bisnis,BBRI,"There is still time! BRI Customers, Immediately Exchange ATM Cards Before They Are Blocked"
349,2021-03-31,Terungkap! Ini Cara BRI Kembangkan Kompetensi Karyawannya,CNBC Indonesia,BBRI,Revealed! This is BRI's way of developing employee competency
350,2021-04-01,Komitmen BRI Membangun Negeri tak Terhalang Pandemi,CNBC Indonesia,BBRI,BRI's commitment to developing the country is not hindered by the pandemic
351,2021-04-01,"Bunga deposito bank BUMN: BTN 3,75%, Bank Mandiri 3,25%, BRI 3,25%, BNI 3,13%",Kontan,BBRI,"State-owned bank deposit interest: BTN 3.75%, Bank Mandiri 3.25%, BRI 3.25%, BNI 3.13%"
352,2021-04-04,BRI Salurkan Kredit Ramah Lingkungan Rp 562 T di 2020,CNBC Indonesia,BBRI,BRI Distributes Environmentally Friendly Credit IDR 562 T in 2020
353,2021-04-05,"Konsistensi BRI Terapkan Pro People, Pro Planet & Pro Profit",CNBC Indonesia,BBRI,"BRI Consistency Implements Pro People, Pro Planet & Pro Profit"
354,2021-04-06,"Lepas BBCA-BBRI, 'Bandar Besar' Borong BBNI-INCO",CNBC Indonesia,BBRI,"After BBCA-BBRI, 'Big Bookie' Buys BBNI-INCO"
355,2021-04-08,BRI Sabet Penghargaan The Best CEO & Best Innovative Company,CNBC Indonesia,BBRI,BRI achieved Penghargaan The Best CEO & Best Innovative Company
356,2021-04-09,"BRI Kantongi 5 Penghargaan, Perusahaan Hingga CEO Terbaik",CNBC Indonesia,BBRI,"BRI Won 5 Awards, Best Company to CEO"
357,2021-04-11,"Rekrut SDM Berbakat, Ini 2 Program Andalan BRI buat Milenial",CNBC Indonesia,BBRI,"Recruit Talented Human Resources, These are 2 of BRI's Mainstay Programs for Millennials"
358,2021-04-12,"Sambut Ramadan & HUT ke-32, BRI Insurance Berbagi Kebahagiaan",CNBC Indonesia,BBRI,"Welcoming Ramadan & 32nd Anniversary, BRI Insurance Shares Happiness"
359,2021-04-12,"Bagikan Saham ke Karyawan, Ini Dia 4 Keuntungan ESA dari BRI",CNBC Indonesia,BBRI,"Distribute Shares to Employees, Here are 4 Benefits of ESA from BRI"
360,2021-04-12,"Karyawan Miliki Perusahaan, BRI Bagikan Saham Lewat Employee Stock Allocation (ESA)",Bisnis,BBRI,"Employees Own the Company, BRI Shares Shares Through Employee Stock Allocation (ESA)"
361,2021-04-12,Raih Kebebasan Finansial Lewat Layanan BRI Wealth Management,CNBC Indonesia,BBRI,Achieve Financial Freedom Through BRI Wealth Management Services
362,2021-04-13,Jangan Keliru! Ini Jadwal Operasional BRI Selama Ramadan,CNBC Indonesia,BBRI,Don't be mistaken! This is BRI's operational schedule during Ramadan
363,2021-04-13,"BRI Akan Tinggalkan Aceh, Kenapa?",Bisnis,BBRI,"BRI Will Leave Aceh, Why?"
364,2021-04-14,Strategi Investasi BRI Danareksa Untuk Para Pemburu Cuan,CNBC Indonesia,BBRI,BRI mutual funds Investment Strategy for Profit Hunters
365,2021-04-14,"BRI Resmi Pamit dari Aceh, Ini Peralihannya Layanannya",CNBC Indonesia,BBRI,"BRI Officially Leaves Aceh, This is the Transition of its Services"
366,2021-04-14,"Resmi! Bank BRI Pamit dari Aceh, Ternyata Ini Alasannya",CNBC Indonesia,BBRI,"Official! Bank BRI says goodbye to Aceh, apparently this is the reason"
367,2021-04-16,"Geber Bisnis Digital, Begini Jurus BRI Insurance",CNBC Indonesia,BBRI,"Get Started with Digital Business, This is BRI Insurance's Steps"
368,2021-04-17,"Serangan Siber Mulai Marak, BRI Tempuh Strategi Ini",CNBC Indonesia,BBRI,"Cyber ​​Attacks are starting to increase, BRI is adopting this strategy"
369,2021-04-17,"Awas Bahaya Hacker di Layanan Bank, Simak Tips dari BRI",CNBC Indonesia,BBRI,"Beware of the Dangers of Hackers in Bank Services, Listen to Tips from BRI"
370,2021-04-17,"Ada Waktu 3 Bulan, Penerima BPUM Tak Perlu Buru-Buru ke BRI",CNBC Indonesia,BBRI,"There are 3 months, BPUM recipients don't need to rush to BRI"
371,2021-04-19,BRILink dan BRImo jadi Fokus BRI (BBRI) Dongkrak Pendapatan Komisi,Bisnis,BBRI,BRILink and BRImo are the focus of BRI (BBRI) to increase commission income
372,2021-04-20,"Permudah transaksi remitansi, BRI bekerjasama dengan Western Union",Kontan,BBRI,"To make remittance transactions easier, BRI collaborates with Western Union"
373,2021-04-20,BRI Dinobatkan Sebagai Syndicated Financial Institution Deal of the Year Oleh APLMA,Kontan,BBRI,BRI Named Syndicated Financial Institution Deal of the Year by APLMA
374,2021-04-20,"HUT ke-32, BRI Insurance Persembahkan Tahun Insurtech",Bisnis,BBRI,"32nd Anniversary, BRI Insurance Presents the Year of Insurtech"
375,2021-04-21,"Suku Bunga Deposito BRI (BBRI) Terbaru, Ada Penurunan Nih!",Bisnis,BBRI,"Latest BRI (BBRI) Deposit Interest Rate, There's a Decrease!"
376,2021-04-21,"Gelar RUPST, BRI Insurance rombak susunan direksi dan komisaris",Kontan,BBRI,"Holding an AGMS, BRI Insurance reshuffled the composition of directors and commissioners"
377,2021-04-25,Resep BRI Agar Transaksi Digital Tetap Aman,CNBC Indonesia,BBRI,BRI Recipe to Keep Digital Transactions Safe
378,2021-04-26,"Dapat Pengalaman dan Uang Saku, Yuk Ikut Magang di BRI!",CNBC Indonesia,BBRI,"Get Experience and Pocket Money, Come Join the Internship at BRI!"
379,2021-04-26,Mau kredit Mobil Saat Pandemi? Ini Bocoran Tips BRI Finance,CNBC Indonesia,BBRI,Want a car loan during the pandemic? These are leaked BRI Finance tips
380,2021-04-26,"BCA-BRI Garap Bank Digital, Analis: Ini Persaingan Super Apps",CNBC Indonesia,BBRI,"BCA-BRI Develop Digital Bank, Analyst: This is Super Apps Competition"
381,2021-04-27,Bos BRI Ventures Buka-bukaan Tips Startup Lokal Go Global,CNBC Indonesia,BBRI,BRI Ventures Boss Opens Up About Tips for Local Startups to Go Global
382,2021-04-27,"Ditopang Relaksasi PPnBM, BRI Finance Bidik Pembiayaan Rp 2 T",CNBC Indonesia,BBRI,"Supported by PPnBM Relaxation, BRI Finance Aims for IDR 2 T Financing"
383,2021-04-27,BRI Peduli Bantu Urban Farming di 18 Lokasi di Indonesia,CNBC Indonesia,BBRI,BRI Peduli Helps Urban Farming in 18 Locations in Indonesia
384,2021-04-28,BRI Microfinance Outlook Berikan Solusi Keuangan UMKM,CNBC Indonesia,BBRI,BRI Microfinance Outlook Provides MSME Financial Solutions
385,2021-04-29,Kabar Gembira! Nabung Valas Dapat Emas Dari BRI,CNBC Indonesia,BBRI,Good news! Saving Forex Gets Gold From BRI
386,2021-04-30,"Milenial Kuat Finansial di Pandemi, Ini Tips Direktur BRI",CNBC Indonesia,BBRI,"Millennials Are Financially Strong in the Pandemic, These Are Tips from the Director of BRI"
387,2021-04-30,BRI Hadirkan Lembaga Sertifikasi Microfinance Indonesia,CNBC Indonesia,BBRI,BRI Presents Indonesian Microfinance Certification Institute
388,2021-05-02,"Pelopor Digital Loan, Ini Strategi BRI Agro Untuk Pinang",CNBC Indonesia,BBRI,"Digital Loan Pioneer, This is BRI Agro's Strategy for Pinang"
389,2021-05-02,Mau Ajukan Pinjaman Super Mikro ke BRI? Ini Persyaratannya,Bisnis,BBRI,Want to apply for a Super Micro Loan to BRI? These are the Requirements
390,2021-05-03,"Libur Lebaran, 184 Kantor Cabang Bank BRI Tetap Buka",CNBC Indonesia,BBRI,"Eid Holidays, 184 BRI Bank Branch Offices Remain Open"
391,2021-05-04,"Ini Syarat Ajukan KUR BRI, Subsidi Bunga Diperpanjang sampai Akhir Tahun!",Bisnis,BBRI,"These are the conditions for applying for BRI KUR, interest subsidies extended until the end of the year!"
392,2021-05-04,"Jurus Bangun Usaha ala Bank BRI: Skill, Network & Gak Curang!",CNBC Indonesia,BBRI,"BRI Bank Style Business Building Steps: Skills, Network & No Cheating!"
393,2021-05-04,Tips Kelola Usaha Yang Benar Dari Direktur Kepatuhan BRI,CNBC Indonesia,BBRI,Tips for Proper Business Management from BRI's Compliance Director
394,2021-05-04,Mau Sukses? Bos BRI Ungkap Tips Kelola Usaha Biar Langgeng,CNBC Indonesia,BBRI,Want to be successful? BRI Boss Reveals Tips for Managing a Business to Make It Last
395,2021-05-05,Butuh Tambahan Modal? Sektor Usaha Ini Bisa Dapat KUR BRI,Bisnis,BBRI,Need Additional Capital? This Business Sector Can Get BRI KUR
396,2021-05-05,Direktur Konsumer BRI Handayani: Kerjakan Tugas Dengan Cinta,CNBC Indonesia,BBRI,BRI Consumer Director Handayani: Do Your Tasks With Love
397,2021-05-06,"Salurkan kredit melalui platform, BRI Agro gandeng Modalku",Kontan,BBRI,"Distribute credit through the platform, BRI Agro collaborates with Modalku"
398,2021-05-06,LinkUMKM.id – Platform Pemberdayaan Digital BRI Bantu Pelaku UMKM Naik,Bisnis,BBRI,LinkUMKM.id – BRI Digital Empowerment Platform Helps MSMEs Grow
399,2021-05-07,"Permudah Akses Layanan dan Perizinan UMKM, BRI Sinergi dengan Kementerian Investasi",Bisnis,BBRI,"Easier Access to MSME Services and Licensing, BRI Synergizes with the Ministry of Investment"
400,2021-05-11,"Mudahkan Nasabah, BRI Buka Layanan Terbatas di Libur Lebaran",CNBC Indonesia,BBRI,"Make it easier for customers, BRI opens limited services during the Eid holidays"
401,2021-05-12,"Jelang Lebaran, Direksi BRI Blusukan Tinjau Layanan Terbatas",CNBC Indonesia,BBRI,"Ahead of Eid, BRI Blusukan Directors Review Limited Services"
402,2021-05-15,Direksi BRI Tinjau Layanan Libur Lebaran di Akhir Pekan,CNBC Indonesia,BBRI,BRI Directors Review Eid Holiday Services at the Weekend
403,2021-05-16,"Dana yang dihimpun BRI lewat agen BRILink capai Rp 13,2 triliun hingga April 2021",Kontan,BBRI,Funds collected by BRI through BRILink agents reached IDR 13.2 trillion until April 2021
404,2021-05-18,"Jadi Perusahaan Paling Bernilai, BRI Kalahkan 5 Emiten Kakap",CNBC Indonesia,BBRI,"Becoming the Most Valuable Company, BRI Beats 5 Big Issuers"
405,2021-05-18,"Jadi Perusahaan Paling Bernilai, BRI Libas Mandiri & BCA Cs",CNBC Indonesia,BBRI,"Becoming the Most Valuable Company, BRI Beats Mandiri & BCA Etc."
406,2021-05-18,BRI dan SRCIS Dukung Layanan Perbankan Digital Toko Kelontong,CNBC Indonesia,BBRI,BRI and SRCIS Support Grocery Store Digital Banking Services
407,2021-05-18,BRI dan SRCIS Dukung Layanan Perbankan Digital Toko Kelontong Masa Kini,Bisnis,BBRI,BRI and SRCIS Support Digital Banking Services for Today's Grocery Stores
408,2021-05-19,Bos BRI Ventures Ungkap Potensi Besar Start-Up Indonesia,CNBC Indonesia,BBRI,BRI Ventures Boss Reveals the Huge Potential of Indonesian Start-Ups
409,2021-05-19,BRI Ventures dan Potensi Besar Start-Up Indonesia,Bisnis,BBRI,BRI Ventures and the Big Potential of Indonesian Start-Ups
410,2021-05-19,"Jadi Bank Digital, BRI Agro Luncurkan Program Transformasi",CNBC Indonesia,BBRI,"Becoming a Digital Bank, BRI Agro Launches Transformation Program"
411,2021-05-22,"Modal Kredit BRI, Wanita Ini Sukses Bisnis Keripik di Nabire",CNBC Indonesia,BBRI,"BRI Credit Capital, This Woman is Successful in the Chips Business in Nabire"
412,2021-05-24,"Ini batas akhir penggantian dan cara penukaran kartu ATM lama BRI, Mandiri, BNI & BCA",Kontan,BBRI,"This is the deadline for replacement and how to exchange old BRI, Mandiri, BNI & BCA ATM cards"
413,2021-05-24,Gratis! Ini Perbandingan Biaya Transaksi Debit BRI di ATM,CNBC Indonesia,BBRI,Free! This is a comparison of BRI Debit Transaction Fees at ATMs
414,2021-05-25,"Cek Saldo & Tarik Tunai ATM Link Bayar, Bos BRI: Tidak Ada Aturan yang Dilanggar",Bisnis,BBRI,"Check Balance & Withdraw Cash from ATM Pay Link, BRI Boss: No Rules Violated"
415,2021-05-25,"Catat! Jadwal Blokir Kartu ATM Lama BCA, BNI, BRI, Bank Mandiri",Bisnis,BBRI,"Note! Schedule for blocking old BCA, BNI, BRI, Bank Mandiri ATM cards"
416,2021-05-25,"Ini Kartu ATM BRI, BCA dan Bank Mandiri yang Akan Diblokir",CNBC Indonesia,BBRI,"These are the BRI, BCA and Bank Mandiri ATM cards that will be blocked"
417,2021-05-25,"Catat! BRI Raih Laba Rp 6,86 T di Kuartal I-2021",CNBC Indonesia,BBRI,Note! BRI Earns Profit of IDR 6.86 T in Quarter I-2021
418,2021-05-26,"Bermodal Pinjaman BRI, Masita Kini Punya 4 Cabang Usaha",CNBC Indonesia,BBRI,"With BRI loan capital, Masita now has 4 business branches"
419,2021-05-27,"Bukan lagi BRI, inilah bank terbesar di Indonesia",Kontan,BBRI,"No longer BRI, this is the largest bank in Indonesia"
420,2021-05-28,"BRIsyariah Merger, Aset BRI Tetap Tumbuh Positif",CNBC Indonesia,BBRI,"BRIsyariah Merger, BRI Assets Continue to Grow Positively"
421,2021-05-30,Mantap! BRI Bawa UMKM Eceng Gondok Go Internasional,CNBC Indonesia,BBRI,Excellent! BRI Takes Water Hyacinth MSMEs to Go International
422,2021-06-01,BRI Dinobatkan Sebagai Best Overall di Bidang GCG dari IICD,CNBC Indonesia,BBRI,BRI Named Best Overall in the GCG Sector from IICD
423,2021-06-01,"Transfer Sesama BRI lewat ATM BRI Kena Biaya Rp1.000, Begini Keluhan Warganet",Bisnis,BBRI,"Transfers Between BRI Accounts via BRI ATMs Cost Rp1,000, Netizens Complain"
424,2021-06-02,"Demi Capai Herd Immunity, BRI Gelar Vaksinasi Gotong Royong",CNBC Indonesia,BBRI,"In Order to Achieve Herd Immunity, BRI Holds Mutual Cooperation Vaccination"
425,2021-06-02,"Askrindo Punya Dirut Baru, Mantan Direktur Bank BRI",Bisnis,BBRI,"Askrindo Has a New Managing Director, Former Director of BRI Bank"
426,2021-06-02,"Tetap Gratis, Ini Penjelasan Biaya Transfer Sesama BRI di ATM",CNBC Indonesia,BBRI,"Still Free, Here's an Explanation of Transfer Fees Between BRI Accounts at ATMs"
427,2021-06-02,"Catat jadwal pemblokiran kartu ATM Bank Mandiri, BRI, BNI dan BCA",Kontan,BBRI,"Note the schedule for blocking Bank Mandiri, BRI, BNI and BCA ATM cards"
428,2021-06-03,Dirut BRI Buka-bukaan Soal Bank Digital,CNBC Indonesia,BBRI,BRI President Director Opens Up About Digital Banking
429,2021-06-05,"Kapan Kartu ATM BCA, BRI & Bank Mandiri Diblokir? Cek di Sini",CNBC Indonesia,BBRI,"When will BCA, BRI & Bank Mandiri ATM cards be blocked? Check Here"
430,2021-06-05,"Menuju Bank Digital, BRI Agro (AGRO) Bakal Ubah Nama",Bisnis,BBRI,"Towards a Digital Bank, BRI Agro (AGRO) Will Change Name"
431,2021-06-06,BRI Ungkap Strategi Model Bisnis Hybrid Company,CNBC Indonesia,BBRI,BRI Reveals Hybrid Company Business Model Strategy
432,2021-06-08,BRI Ventures Hadirkan 8 Startup Pada Demo Day Sembrani Wira,CNBC Indonesia,BBRI,BRI Ventures Presents 8 Startups at Sembrani Wira Demo Day
433,2021-06-10,BRI Agro Salurkan KPR Bersubsidi untuk 136 Proyek Perumahan,Bisnis,BBRI,BRI Agro Distributes Subsidized Mortgage for 136 Housing Projects
434,2021-06-10,"Sampai bulan lalu, BRI telah salurkan kredit sindikasi Rp 4,4 triliun",Kontan,BBRI,"As of last month, BRI had disbursed syndicated loans of IDR 4.4 trillion"
435,2021-06-10,"BRI miliki 6 pipeline pembiayaan sindikasi dengan estimasi partisipasi capai Rp 5,2 T",Kontan,BBRI,BRI has 6 syndicated financing pipelines with estimated participation reaching IDR 5.2 T
436,2021-06-10,Nasabah BNI Syariah & BRI Syariah Riau Segera Migrasi ke Bank Syariah Indonesia,Bisnis,BBRI,BNI sharia & BRI sharia Riau Customers Immediately Migrate to Bank sharia Indonesia
437,2021-06-11,"Perlindungan Nyata, BRI Group Hadirkan Asuransi Double Care",CNBC Indonesia,BBRI,"Real Protection, BRI Group Presents Double Care Insurance"
438,2021-06-11,"Asuransi BRI Life Double Care, Premi Tunggal Manfaat Ganda, Perlindungan Pasti Untuk Pekerja dan Keluarga",Bisnis,BBRI,"BRI Life Double Care Insurance, Single Premium Double Benefits, Guaranteed Protection for Workers and Families"
439,2021-06-11,BRI Siap Kelola Dana Tapera dengan Kredibel,CNBC Indonesia,BBRI,BRI Ready to Manage Tapera Funds Credibly
440,2021-06-13,"Bank Mikro Sejati, BRI Kejar Porsi Kredit Mikro 45% di 2025",CNBC Indonesia,BBRI,"True Micro Bank, BRI Pursues Micro Credit Portion of 45% by 2025"
441,2021-06-14,Asing Borong Saham BBRI-MDKA & Lepas Saham BBTN-MIKA,CNBC Indonesia,BBRI,Foreign Wholesale of BBRI-MDKA Shares & BBTN-MIKA Share Shares
442,2021-06-14,BRI Targetkan Transaksi BRILink Tembus Rp 1.000 T di 2021,CNBC Indonesia,BBRI,"BRI Targets BRILink Transactions to Reach IDR 1,000 T in 2021"
443,2021-06-14,"Holding Ultra Mikro Tunggu PP, Bos BRI Ungkap Road Map-nya!",CNBC Indonesia,BBRI,"Ultra Micro Holding Wait PP, BRI Boss Reveals Road Map!"
444,2021-06-14,Dirut BRI Pastikan Transaksi di ATM Link Gratis,CNBC Indonesia,BBRI,BRI Managing Director Ensures Transactions at ATM Link are Free
445,2021-06-14,"IHSG naik tipis ke 6.101 pada akhir sesi I hari ini, asing borong BBRI, MDKA, BMRI",Kontan,BBRI,"JCI rose slightly to 6,101 at the end of session I today, foreigners bought up BBRI, MDKA, BMRI"
446,2021-06-15,Fixed! BRI Konfirmasi Pengenaan Tarif Cek Saldo dan Tarik Tunai ATM Link Batal,Bisnis,BBRI,Fixed! BRI Confirms Charges for Checking Balance and Withdrawing Cash from ATM Link Canceled
447,2021-06-15,"BRI Jadi Induk Pegadaian-PNM, Ini Skema Integrasi Ultra Mikro",CNBC Indonesia,BBRI,"BRI Becomes Parent of Pegadaian-PNM, This is an Ultra Micro Integration Scheme"
448,2021-06-15,Penjelasan Lengkap Bos BRI Soal Integrasi Ultra Mikro,CNBC Indonesia,BBRI,BRI Boss Complete Explanation Regarding Ultra Micro Integration
449,2021-06-16,"Antisipasi penurunan kualitas kredit, BRI bentuk CKPN Rp 73,11 triliun per April",Kontan,BBRI,"Anticipating a decline in credit quality, BRI formed a CKPN of IDR 73.11 trillion as of April"
450,2021-06-18,BRI Jabarkan Strategi Untuk UMKM di UN Compact Leader Summit,CNBC Indonesia,BBRI,BRI Outlines Strategy for MSMEs at the UN Compact Leader Summit
451,2021-06-22,BRI Jaring 350 Desa di Program Desa BRILiaN,CNBC Indonesia,BBRI,BRI Networks 350 Villages in the BRILiaN Village Program
452,2021-06-23,"Holding Ultra Mikro, Ekosistem Nasabah BBRI Tembus 160 Juta",CNBC Indonesia,BBRI,"Ultra Micro Holding, BBRI Customer Ecosystem Reaches 160 Million"
453,2021-06-23,"TELE Mau Delisting, Duh Nasib Duit TLKM, BCA & BRI Bagaimana?",CNBC Indonesia,BBRI,"TELE wants to be delisted, what happens to TLKM, BCA & BRI money?"
454,2021-06-23,BRI Dinobatkan Bank Terbaik di RI Versi The Asian Banker,CNBC Indonesia,BBRI,BRI Named Best Bank in RI According to The Asian Banker
455,2021-06-23,"Pilih Mana BRI, BCA atau Bank Jago? Simak Rekomendasinya",CNBC Indonesia,BBRI,"Which would you choose BRI, BCA or Bank Jago? Check out the recommendations"
456,2021-06-23,BRI Kembali Jadi Merek Bank Paling Bernilai di Indonesia,CNBC Indonesia,BBRI,BRI is again the most valuable bank brand in Indonesia
457,2021-06-24,Community Branch Jadi Strategi Baru BRI Agro di Bank Digital,CNBC Indonesia,BBRI,Community Branch Becomes BRI Agro's New Strategy in Digital Banking
458,2021-06-24,BRI Gandeng BPD Kembangkan Bisnis Treasury & Global Services,CNBC Indonesia,BBRI,BRI Collaborates with BPD to Develop Treasury & Global Services Business
459,2021-06-24,"Proyeksi BRI Danareksa, Hanya Sedikit Bank Digital yang Akan Berhasil",Kontan,BBRI,"BRI mutual funds Projections, Only a Few Digital Banks Will Be Successful"
460,2021-06-24,"Cek nih! Bocoran Target Harga Saham BCA, BRI, Mandiri, BNI",CNBC Indonesia,BBRI,"Check this out! Leaked Stock Price Targets for BCA, BRI, Mandiri, BNI"
461,2021-06-28,Cara Mudah Buka Deposito Lewat Internet Banking BRI,CNBC Indonesia,BBRI,Easy Way to Open a Deposit via BRI Internet Banking
462,2021-06-30,"Rektor UI Rangkap Jabatan Komisaris BRI, Ombudsman: Melanggar Aturan!",Bisnis,BBRI,"UI Chancellor Holds the Position of BRI Commissioner, Ombudsman: Breaking the Rules!"
463,2021-06-30,"Ini Dia 10 Saham Paling Ramai Trading, Ada Duo BBRI-BRIS!",CNBC Indonesia,BBRI,"Here are the 10 most traded shares, there is the BBRI-BRIS duo!"
464,2021-07-01,"BRI (BBRI) Gelar RUPSLB 22 Juli, Bahas Rights Issue dalam Rangka Holding",Bisnis,BBRI,"BRI (BBRI) Holds EGMS July 22, Discusses Rights Issue in the Context of Holding"
465,2021-07-01,BRI Dorong Kontribusi Usaha Mikro Dalam Membangun Perekonomian Nasional,Bisnis,BBRI,BRI Encourages the Contribution of Micro Enterprises in Building the National Economy
466,2021-07-02,Mampukah Holding Ultra Mikro Dongkrak Harga Saham BRI (BBRI)?,Bisnis,BBRI,Can Ultra Micro Holding Boost BRI (BBRI) Share Prices?
467,2021-07-02,BRI Dorong Kontribusi UMKM Bangun Perekonomian Nasional,CNBC Indonesia,BBRI,BRI Encourages the Contribution of MSMEs to Build the National Economy
468,2021-07-02,"Layanan Prima, BRI Raih 4 Penghargaan Service Excellence",CNBC Indonesia,BBRI,"Excellent Service, BRI Wins 4 Service Excellence Awards"
469,2021-07-03,3 Strategi BRI Dukung Percepatan Pengembangan Pasar Uang,CNBC Indonesia,BBRI,3 BRI Strategies to Support Accelerated Money Market Development
470,2021-07-05,"Wuih, Jual Satu Juta Saham AGRO, Direktur BRI Agro Cuan Rp 1,76 Miliar",Kontan,BBRI,"Wow, Selling One Million AGRO Shares, Director of BRI Agro Profits IDR 1.76 Billion"
471,2021-07-05,"PPKM Darurat! Ini Jam Buka BRI, BCA, BNI, Mandiri-Bank BTN",CNBC Indonesia,BBRI,"Emergency PPKM! These are the opening hours of BRI, BCA, BNI, Mandiri-Bank BTN"
472,2021-07-06,"PP pembentukan holding ultra mikro terbit, Pegadaian dan PNM jadi anak usaha BRI",Kontan,BBRI,"The PP on the establishment of an ultra-micro holding was issued, pawnshop and PNM became BRI subsidiaries"
473,2021-07-06,"Soal Rangkap Jabatan Rektor UI, Ini Jawaban BRI",CNBC Indonesia,BBRI,"Regarding the Dual Position of UI Chancellor, This is BRI's Answer"
474,2021-07-07,"Jaga Ekonomi Indonesia, BRI Bangkitkan Pelaku UMKM",CNBC Indonesia,BBRI,"Safeguarding Indonesia's Economy, BRI Raises MSME Players"
475,2021-07-07,Ssst...Ini Bocoran Proyeksi Harga-Nilai Rights Issue Bank BRI,CNBC Indonesia,BBRI,Psst...This is a leaked projection of the price and value of BRI Bank's rights issue
476,2021-07-08,BRI Salurkan 1.000 Bed & Sarana Rusun Isolasi Pasar Rumput,CNBC Indonesia,BBRI,"BRI Distributes 1,000 Beds & Facilities for Pasar Rumput Isolation Flats"
477,2021-07-09,BRI Kerahkan Teras Kapal Demi Gencarkan Vaksinasi di Maluku,CNBC Indonesia,BBRI,BRI Deploys Ship Terrace to Increase Vaccination in Maluku
478,2021-07-11,BRI Bantu Fasilitas Penunjang RS di Berbagai Daerah,CNBC Indonesia,BBRI,BRI Assists Hospital Support Facilities in Various Regions
479,2021-07-14,BRI Kerahkan Teras Kapal untuk Vaksinasi di 4 Kepulauan,CNBC Indonesia,BBRI,BRI Deploys Ship Terrace for Vaccination on 4 Islands
480,2021-07-14,Teras Kapal BRI Membelah Lautan Demi Vaksinasi Hingga Pelosok,CNBC Indonesia,BBRI,BRI Ship Terrace Splits the Ocean for Vaccination in Remote Areas
